track_name,artist,album,release_date,duration,popularity,explicit,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood,negative,neutral,positive,compound
In My Feelings,Drake,Scorpion,2018-06-29,217925,75,1,trap trapmoneybenni shit got feel got real yeah kiki love ride say never ever leav besid want ya need ya alway kb love ride say never ever leav besid want ya need ya alway look new realli still real swear got feel tri kill got make choic runnin option go know stoppin get toppin see learnin take shoppin spend like earn pop ex deserv thought one jump confirm trapmoneybenni ayi buy champagn love henni block like jenni know special girl know mani might also like resha love ride say never ever leav besid want ya need ya alway jt love ride say never ever leav besid want ya need ya alway two bad bitch kissin wraith kissinkissin wraith kisskissin wraith need black card code safe code safe codecod safesaf show neck work fuck netflix chillwhat netnetnet worth want ya need ya alway yeah yeah yeah yeah bad alway yeah yeah yeah guess back alway ddown al black biggi biggi black biggi black blake dddown alway got new boy nigga trade kiki love ride say never ever leav besid want need alway kb love ride say never ever leav besid want ya skate smoke rap let see bring ass bring ass bring ass back bbring ass bring ass bring ass back shawti say nigga hit shawti hit hit like miss let see clap ass one love clap ass clapclap ass bring ass back clapclapclap ass one love let us go let us go let us go bring ass back trap trapmoneybenni shit got feel got real ayi yup blaqnmild geniu diggin know even care need photo drake instagram weak fuck real shit look,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,0,0.227,0.542,0.231,-0.8176
Work,Rihanna,ANTI (Deluxe),2016-01-28,219320,80,1,work work work work work work said haffi work work work work work work see mi dirt dirt dirt dirt dirt dirt put work work work work work work ah guh learn learn learn learn learn nuh cyar hurt hurt hurt hurt hurt dri ah desert nuh time lurk ah go act like nuh like know dealt nicest nuh bodi touch nuh righteou nuh badda text crisi believ dream ador took heart key patienc took heart sleev decor mistaken love brought foundat want give someth never someth never seen someth never mmmmm wake act like noth wrong get readi fi might also like work work work work work work said haffi work work work work work work see mi dirt dirt dirt dirt dirt dirt put work work work work work work ner ner ner ner ner ner yuh ago learn learn learn learn learn learn tabl turn turn turn turn turn turn beg someth pleas babi leav leav stuck street uhhuh get anoth chanc never never neglect mean hold past hope get hope see hope see true say pleas recogn tryin babe work work work work work work said haffi work work work work work work see mi dirt dirt dirt dirt dirt dirt put work work work work work work ah guh learn learn learn learn learn nuh cyar hurt hurt hurt hurt hurt yeah okay need get done done done done work come need slow motion give away one long distanc need see potenti got see twin would still choos want rush soon know need get done done done done come sorri way less friendli got nigga tryna end oh yeah spill emot tonight sorri rollin rollin rollin rollin rollin mani shot rollin need facetofac could pick time place spent time away need forward give work work work work work work said haffi work work work work work work see mi dirt dirt dirt dirt dirt dirt put work work work work work work ah guh learn learn learn learn learn nuh cyar hurt hurt hurt hurt hurt mmmmm mmmmm mmmmm mmmmm work work work work work work mmmmm mmmmm,0.725,0.534,11.0,-6.238,1.0,0.0946,0.0752,0.0,0.0919,0.558,91.974,4.0,1,0.261,0.634,0.105,-0.9965
Hall of Fame (feat. will.i.am),The Script,#3 Deluxe Version,2012-09-10,202533,81,0,yeah greatest best king kong bangin chest beat world beat war talk god go bangin door throw hand beat clock yeah move mountain break rock master wait luck dedic gon find standin hall fame yeah world go know name yeah burn brightest flame yeah world go know name yeah wall hall fame go distanc run mile walk straight hell smile hero get gold breakin record thought never could broke yeah peopl pride ever go know never even tri countri name gon day might also like standin hall fame yeah world go know name yeah burn brightest flame yeah world go know name yeah wall hall fame champion champion champion champion wall hall fame student teacher politician preacher yeah believ leader astronaut champion truthseek student teacher politician preacher yeah believ leader astronaut champion standin hall fame yeah world go know name yeah burn brightest flame yeah world go know name yeah wall hall fame greatest best champion king kong bangin chest champion beat world beat war champion talk god go bangin door champion throw hand beat clock champion move mountain break rock champion master wait luck champion dedic gon find champion stand hall fame,0.421,0.873,10.0,-4.343,1.0,0.0564,0.0654,0.0,0.123,0.629,84.786,4.0,1,0.045,0.413,0.543,0.9993
Diamonds,Rihanna,Unapologetic (Edited Version),2012-01-01,225146,73,0,shine bright like diamond shine bright like diamond find light beauti sea choos happi like diamond sky shoot star see vision ecstasi hold aliv like diamond sky knew would becom one right away oh right away first sight felt energi sun ray saw life insid eye shine bright tonight beauti like diamond sky eye eye aliv beauti like diamond sky shine bright like diamond woah shine bright like diamond woah shinin bright like diamond beauti like diamond sky shine bright like diamond woah shine bright like diamond woah shinin bright like diamond beauti like diamond sky might also like palm rise univers moonshin molli feel warmth never die like diamond sky shoot star see vision ecstasi hold aliv like diamond sky first sight felt energi sun ray saw life insid eye shine bright tonight beauti like diamond sky eye eye aliv beauti like diamond sky shine bright like diamond woah shine bright like diamond woah shinin bright like diamond beauti like diamond sky shine bright like diamond woah shine bright like diamond woah shinin bright like diamond beauti like diamond sky shine bright like diamond shine bright like diamond shine bright like diamond shine bright tonight beauti like diamond sky eye eye aliv beauti like diamond sky shine bright like diamond woah shine bright like diamond woah shine bright like diamond woahoh yeah shine bright like diamond woah shine bright like diamond woah shine bright like diamond shine bright like diamondemb,0.564,0.71,11.0,-4.92,0.0,0.0461,0.00125,0.0,0.109,0.393,91.972,4.0,0,0.022,0.318,0.66,0.9997
I Want It That Way,Backstreet Boys,Millennium,1999-05-18,213306,82,0,yeaheheh fire one desir believ say want way two world apart reach heart say want way tell noth heartach tell noth mistak tell never want hear say want way fire one desir ye know late want way might also like tell noth heartach tell noth mistak tell never want hear say want way see fallin apart way use yeah matter distanc want know deep insid fire one desir want hear noth heartach say hey yeah noth mistak want hear say never want hear say oh yeah want way tell noth heartach tell noth mistak tell never want hear say want hear say want way tell noth heartach noth mistak tell never want hear say never want hear say yeah want way want wayemb,0.689,0.694,6.0,-5.83,0.0,0.027,0.257,0.0,0.148,0.482,99.039,4.0,0,0.102,0.654,0.243,0.9015
Shake It Off,Taylor Swift,1989,2014-10-27,219200,72,0,stay late got noth brain peopl say mmmm peopl say mmmm go mani date haha make stay least peopl say mmmm peopl say mmmm keep cruisin stop stop movin like got music mind sayin go alright player go play play play play play hater go hate hate hate hate hate babi go shake shake shake shake shake shake shake heartbreak go break break break break break faker go fake fake fake fake fake babi go shake shake shake shake shake shake shake see taylor swift liveget ticket low might also like never miss beat lightnin feet see mmmm see mmmm dancin dancin make move go move go know mmmm know mmmm keep cruisin stop stop groovin like got music mind sayin go alright player go play play play play play hater go hate hate hate hate hate babi go shake shake shake shake shake shake shake heartbreak go break break break break break faker go fake fake fake fake fake babi go shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake hey hey hey think gettin liar dirti dirti cheat world could gettin sick beat exman brought new girlfriend like oh god go shake fella hella good hair come babi shake shake shake yeah ohoh oh player go play play play play play hater go hate hate hate hate hate hater go hate babi go shake shake shake shake shake shake shake ha heartbreak go break break break break break mmm faker go fake fake fake fake fake fake fake fake babi go shake shake shake shake shake shake shake shake shake shake shake shake shake shake yeah shake shake shake shake shake got shake shake shake shake,0.647,0.785,7.0,-5.414,1.0,0.165,0.0561,0.0,0.148,0.943,160.015,4.0,1,0.575,0.283,0.142,-0.9995
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,All Your Fault: Pt. 2,2017-08-11,163870,73,0,babi lay back relax kick pretti feet dash need go nowher fast let us enjoy right know road suppos lead got noth time long right next everyth go alright meant babi let meant babi let ride ride see thing goe meant babi meant mean uptight heart hurt coupl time coupl guy treat right gon lie gon lie tire fake love show made boy make believ whoa hold girl know beauti easi see might also like meant babi let meant babi let ride ride see thing goe meant babi meant cmon ride ride see thing goe cmon ride ride babi meant mayb mayb mayb mayb meant babi let sing bebe meant cmon babi let let us go ride ride see thing goe come ride babi meant babi meant yeah meant babi meant meant babi meant hmmemb,0.643,0.783,10.0,-6.458,1.0,0.0856,0.047,0.0,0.083,0.579,154.084,4.0,1,0.058,0.79,0.152,0.93
Lush Life,Zara Larsson,So Good,2017-03-17,201122,82,0,live day last live day past night summer way want yeah danc heart til dawn done mornin come night summer go spend like crush could could get enough rush gave crush might went said much gave live day last live day past night summer way want yeah danc heart til dawn done mornin come night summer go spend like see zara larsson liveget ticket low might also like crush kept sayin stay touch thing went bust gave ooh trick bluff better without cuff yeah sun set us ooh ooh ooh yeah yeah went low went high still water run dri got get back groov ever worri went low went high matter gettin right back mood live day last live day past night summer way want yeah danc heart til dawn done mornin come night summer go spend like found anoth crush lush life given rush one chanc make blush second time one late found anoth crush lush life given rush one chanc make blush second time one late ooh oohwoah ooh oohwoah live day last live day past night summer way want yeah danc heart til dawn done mornin come night summer go spend like found anoth crush lush life given rush one chanc make blush second time one late found anoth crush lush life given rush one chanc make blush second time one lateemb,0.694,0.712,7.0,-3.923,0.0,0.046,0.132,0.0,0.211,0.799,98.023,4.0,1,0.078,0.726,0.196,0.985
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,289133,76,0,got feelin tonight go good night tonight go good night tonight go good good night feelin tonight go good night tonight go good night tonight go good good night feelin woohoo tonight go good night tonight go good night tonight go good good night feelin woohoo tonight go good night tonight go good night tonight go good good night feel tonight night let us live got money let us spend feel go smash like oh god jump sofa let us kick feel know ball get go lose feel stress want let go let us go way space losin control feel see black eye pea liveget ticket low might also like fill cup mazel tov look dancin take feel let us paint town shut let us burn roof feel let us let us let us let us let us live feel let us let us let us got feelin woohoo tonight go good night tonight go good night tonight go good good night feelin woohoo tonight go good night tonight go good night tonight go good good night feel tonight night hey let us live let us live got money payin let us spend let us spend go smash smash like oh god like oh god jump sofa come let us kick fill cup drank mazel tov lchaim look dancin move move take let us paint town paint town shut shut let us burn roof woo let us let us let us let us let us let us live let us let us let us hey hey hey come go got rock easi come easi go top feel fill shot bodi rock rock stop round round around clock feel monday tuesday wednesday thursday friday saturday saturday sunday getgetgetgetget us know say say parti everi day papapaparti everi day feelin woohoo tonight go good night tonight go good night tonight go good good night feelin woohoo tonight go good night tonight go good night tonight go good good night woohooemb,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,1,0.023,0.656,0.321,0.9989
Waiting For Love,Avicii,Stories,2015-10-02,230613,81,0,way kind beauti everi night day magic love life obstacl defeat everi tyrant tear vulner everi lost soul bone miracl everi dreamer dream unstopp someth believ monday left broken tuesday hopin wednesday empti arm open thursday wait love wait love thank star friday burn like fire gone wild saturday guess come church sunday wait love wait love come around one kind irreplac get blind cynic love life unstopp defeat might also like monday left broken tuesday hopin wednesday empti arm open thursday wait love wait love thank star friday burn like fire gone wild saturday guess come church sunday wait love wait love come around,0.579,0.736,6.0,-3.863,0.0,0.0527,0.31,0.0,0.198,0.613,127.999,4.0,1,0.147,0.471,0.382,0.9917
Daddy Issues,The Neighbourhood,Wiped Out!,2015-10-30,260173,86,0,take like drug tast tongu ask think tell think whatev think ah tell someth forget might tell crazi friend go ahead cri littl girl nobodi like know much matter know got daddi issu littl girl would whatev could would run away hide know got daddi issu tri write name rain rain never came made sun shade alway come worst time ah might also like ask think tell think whatev think tell someth forget might tell crazi friend go ahead cri littl girl nobodi like know much matter know got daddi issu littl girl would whatev could would run away hide know got daddi issu keep tryin let go dyin let know get cri left first dead hurt time got know daddi go entir half disappear go ahead cri littl boy know daddi know mama went got let soon let go ahead cri littl girl nobodi like know much matter know got daddi issu littl girl would whatev could would run away hide know got daddi issu littl girl would whatev could would run away hide know got daddi issu,0.588,0.521,10.0,-9.461,1.0,0.0329,0.0678,0.149,0.123,0.337,85.012,4.0,0,0.118,0.774,0.108,-0.4767
Sex on Fire,Kings of Leon,Only By The Night,2008-09-23,203346,84,0,lay layin make sound know watchin watchin commot kiddielik play peopl talkin talkin sex fire dark alley breakin day head drivin drivin soft lip open knuckl pale feel like dyin dyin sex fire consum transpir see king leon liveget ticket low might also like hot fever rattlin bone could tast tast forev tonight oh still greatest greatest greatest sex fire sex fire ah consum transpir sex fire consum transpireemb,0.542,0.905,9.0,-5.653,1.0,0.054,0.00172,0.0104,0.136,0.374,153.398,4.0,0,0.155,0.626,0.22,0.836
Location,Khalid,American Teen,2017-04-27,219080,78,0,send locat let us focu commun need time place come place come send locat let us ride vibrat need noth els need noth els time wonder fool new new initi want fall gather attent take advantag leav heart damag understand thing go littl bit better plan oh send locat let us focu commun need time place come send locat let us ride vibrat need noth els need noth els might also like want fall love subtweet let us get person got lot cool spot go tell move got act like like give vibe slide oh might make mine night send locat let us focu commun need time place come place come send locat let us ride vibrat need noth els need noth els ride ride ride come vibe tonight need noth els need noth els ride ride ride come vibe tonight need noth els noth els oh oh mmm mmm mmm mmm oh oh oh oh oh oh mmm mmm mmm need noth els,0.736,0.449,1.0,-11.462,0.0,0.425,0.33,0.000162,0.0898,0.326,80.126,4.0,0,0.016,0.853,0.131,0.9571
changes,XXXTENTACION,?,2018-03-16,121886,77,0,mmm babi understand chang stand heart take damag way feel stand mmm babi understand chang stand heart take damag way feel stand mmm babi understand girl makin hard girl makin hard girl makin hard mmm ohh girl makin hard girl makin hard girl makin hard mmm babi understand chang stand heart take damag way feel stand mmm babi understand chang stand heart take damag way feel stand mmm babi understand might also like chang stand heart take damag way feel stand mmm babi understand,0.669,0.308,11.0,-10.068,1.0,0.029,0.883,0.0,0.0984,0.52,64.934,4.0,1,0.081,0.693,0.226,0.9686
"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,2014-03-03,232720,81,0,might seem crazi bout say sunshin take break hot air balloon could go space air like care babi way huh happi clap along feel like room without roof happi clap along feel like happi truth happi clap along know happi happi clap along feel like want come bad news talk yeah well give got hold back yeah well probabl warn ya fine yeah offens wast time happi clap along feel like room without roof happi clap along feel like happi truth happi clap along know happi happi clap along feel like want hey come uh might also like happi bring noth happi bring level high happi bring noth happi bring said let tell happi happi happi happi bring noth happi happi happi happi bring level high happi happi happi happi bring noth happi happi happi bring said happi clap along feel like room without roof happi clap along feel like happi truth happi clap along know happi happi clap along feel like want happi clap along feel like room without roof happi clap along feel like happi truth happi clap along know happi happi clap along feel like want hey come uh happi happi happi happi bring noth happi happi happi happi bring level high happi happi happi happi bring noth happi happi happi bring said happi clap along feel like room without roof happi clap along feel like happi truth happi clap along know happi happi clap along feel like want happi clap along feel like room without roof happi clap along feel like happi truth happi clap along know happi happi clap along feel like want come,0.647,0.822,5.0,-4.662,0.0,0.183,0.219,0.0,0.0908,0.962,160.019,4.0,1,0.015,0.712,0.273,0.9964
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08,329733,83,0,psychic spi china tri steal mind elat littl girl sweden dream silverscreen quotat want kind dream californ edg world western civil sun may rise east least settl final locat understood hollywood sell californ pay surgeon well break spell age celebr skin chin war wage first born unicorn hardcor soft porn dream californ dream californ marri girl fairi world constel teenag bride babi insid get high inform buy star boulevard californ space may final frontier made hollywood basement cobain hear sphere sing song station station alderaan far away californ see red hot chili pepper liveget ticket low might also like born rais prais control popul well everybodi mean vacat first born unicorn hardcor soft porn dream californ dream californ dream californ dream californ destruct lead rough road also breed creation earthquak girl guitar anoth good vibrat tidal wave could save world californ pay surgeon well break spell age sicker rest test crave first born unicorn hardcor soft porn dream californ dream californ dream californ dream californ,0.592,0.767,9.0,-2.788,0.0,0.027,0.0021,0.00165,0.127,0.328,96.483,4.0,0,0.077,0.693,0.23,0.9694
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,264306,82,0,sometim feel like partner sometim feel like friend citi live citi angel lone togeth cri drive street companion walk hill know see good deed kiss windi well never worri lie ever want feel like day take place love take way ever want feel like day take place love take way yeah yeah yeah hard believ nobodi hard believ alon least love citi love lone togeth cri see red hot chili pepper liveget ticket low might also like ever want feel like day take place love take way ever want feel like day take place love take way yeah yeah yeah oh yeah yeah love say yeah yeah one time bridg downtown drew blood bridg downtown could get enough bridg downtown forgot love bridg downtown gave life away yeah yeah yeah away oh yeah yeah away oh said yeah yeah away stayemb,0.559,0.345,4.0,-13.496,1.0,0.0459,0.0576,0.000105,0.141,0.458,84.581,4.0,0,0.06,0.459,0.481,0.9975
Hymn for the Weekend,Coldplay,A Head Full of Dreams,2015-12-04,258266,82,0,said drink drink oh oh shoot across sky got feel drunk high pour symphoni high high shoot across sky pour symphoni drink drink oh oh shoot across sky got feelin drunk high pour symphoni high high shoot across sky oh angel sent know make world light hurt came lift life drink love drug oh think must mile river dri came rain flood see coldplay liveget ticket low might also like said drink drink thirsti pour symphoni get enough put wing wing heavi pour symphoni low low low low oh oh got feel drunk high high high oh oh oh feel drunk high high high woo ooh ooh ooh oh angel sent feel cours blood life drink love make star star come put wing wing heavi pour symphoni low low low low oh oh got feel drunk high high high oh oh oh feel drunk high high high oh oh la la la la la la la high high oh oh feel drunk high high high shoot across sky shoot across let shoot across sky shoot across let shoot let shoot across sky shoot across let shoot across sky shoot across theemb,0.491,0.693,0.0,-6.487,0.0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4.0,0,0.291,0.651,0.058,-0.9919
Summertime Sadness,Lana Del Rey,Born To Die (Deluxe Version),2011-01-01,264773,57,0,kiss hard go summertim sad want know babi best got red dress tonight dancin dark pale moonlight done hair real big beauti queen style high heel feelin aliv oh god feel air telephon wire sizzlin like snare honey fire feel everywher noth scare anymor one two three four kiss hard go summertim sad want know babi best got summertim summertim sad sususummertim summertim sad got summertim summertim sad oh oh oh see lana del rey liveget ticket low might also like feelin electr tonight cruisin coast go bout got bad babi heavenli side know go die happi tonight oh god feel air telephon wire sizzlin like snare honey fire feel everywher noth scare anymor one two three four kiss hard go summertim sad want know babi best got summertim summertim sad sususummertim summertim sad got summertim summertim sad oh oh oh think miss forev like star miss sun morn sky later better never even gone go drive drive drive got summertim summertim sad sususummertim summertim sad got summertim summertim sad oh oh oh kiss hard go summertim sad want know babi best got summertim summertim sad sususummertim summertim sad got summertim summertim sad oh oh oh,0.565,0.647,1.0,-6.789,0.0,0.0334,0.0456,0.0,0.121,0.216,111.931,4.0,0,0.285,0.534,0.181,-0.9794
ocean eyes,Billie Eilish,Ocean Eyes,2016-11-18,200560,73,0,watchin time stop starin ocean eye burn citi napalm sky fifteen flare insid ocean eye ocean eye fair realli know make cri give ocean eye scare never fallen quit high fallin ocean eye ocean eye walkin world gone blind stop thinkin diamond mind care creatur made friend time left lone diamond mind ocean eye fair fair realli know make cri give ocean eye ocean eye scare scare never fallen quit high fallin ocean eye ocean eye might also like sey naeco esoht sey naeco ruoy otni nillaf dadadadada dadadadada hgih siht etiuq morf nellaf reven evi derac mi dadadadadada dadada sey naeco esoht evig uoy nehw mmm yrc ekam ot woh wonk yllaer uoy mmm riaf fair realli know make cri give ocean eye scare never fallen quit high fallin ocean eye ocean eye,0.475,0.37,4.0,-7.725,0.0,0.0361,0.819,0.0577,0.0841,0.157,144.828,4.0,0,0.133,0.69,0.177,0.6405
Into You,Ariana Grande,Dangerous Woman,2016-05-20,244453,71,0,bare breath want fall deep close close enough til cross line heyyeah name game play roll dice hey oh babi look start temperatur rise go happen wait wait make move move make move move babi come light babi let littl bit danger babi want littl less convers littl touch bodi got everyon watchin us babi let us keep secret littl bit scandal babi let see littl less convers littl touch bodi ooh yeah could take time hey made mani mistak better get right right babi might also like oh babi look start temperatur rise go happen wait wait make move move make move move babi come light babi let littl bit danger babi want littl less convers littl touch bodi got everyon watchin us babi let us keep secret mm littl bit scandal babi let see littl less convers littl touch bodi tell came wait edg control need need know know ohwoah yeah babi come light light babi let littl bit danger danger babi want want littl less convers littl touch bodi ayi got everyon watchin us watchin us babi let us keep secret littl bit scandal scandal babi let see yeah littl less convers yeah littl touch bodi ooh ooh come light come light babi littl danger littl danger boy want littl less convers littl touch bodi,0.623,0.734,9.0,-5.948,1.0,0.107,0.0162,1.75e-06,0.145,0.37,107.853,4.0,0,0.127,0.777,0.096,-0.9421
Call Me Maybe,Carly Rae Jepsen,Kiss (Deluxe),2012-09-18,193853,61,0,threw wish well ask never tell look fell way trade soul wish penni dime kiss look way stare holdin rip jean skin showin hot night wind blowin think go babi hey met crazi number call mayb hard look right babi number call mayb hey met crazi number call mayb boy tri chase number call mayb see carli rae jepsen liveget ticket low might also like took time call took time fall gave noth still way beg borrow steal first sight real know would feel way stare holdin rip jean skin showin hot night wind blowin think go babi hey met crazi number call mayb hard look right babi number call mayb hey met crazi number call mayb boy tri chase number call mayb came life miss bad miss bad miss bad came life miss bad know miss bad hard look right babi number call mayb hey met crazi number call mayb boy tri chase number call mayb came life miss bad miss bad miss bad came life miss bad know call maybeemb,0.782,0.573,7.0,-6.558,1.0,0.0382,0.0106,2.82e-06,0.107,0.658,120.005,4.0,1,0.257,0.617,0.126,-0.9839
Lover,Taylor Swift,Lover,2019-08-23,221306,90,0,could leav christma light til januari place make rule dazzl haze mysteri way dear known twenti second twenti year go go alway close forev ever ah take take home lover could let friend crash live room place make call highli suspici everyon see want love three summer honey want go go alway close forev ever ah take take home forev ever lover see taylor swift liveget ticket low might also like ladi gentlemen pleas stand everi guitar string scar hand take magnet forc man lover heart borrow blue all well end well end swear overdramat true lover save dirtiest joke everi tabl save seat lover go go alway close forev ever ah take take home forev ever oh darl lover,0.359,0.543,7.0,-7.582,1.0,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4.0,0,0.056,0.569,0.375,0.9944
Mercy,Shawn Mendes,Illuminate (Deluxe),2017-04-20,208733,81,0,got hold even know power stand hundr feet fall around ya show open door go slam take anymor say babi pleas merci take easi heart even though mean hurt keep tear apart would pleas merci merci heart would pleas merci merci heart would drive night near babi heart open testifi tell crazi ask lot honest pride got might also like say babi pleas merci take easi heart even though mean hurt keep tear apart would pleas merci puppet string even though got good intent need set free would pleas merci merci heart would pleas merci merci heart consum air insid lung rip skin bone prepar sacrific life would gladli twice consum air insid lung rip skin bone prepar sacrific life would gladli twice oh pleas merci take easi heart even though mean hurt keep tear apart would pleas merci puppet string even though got good intent need set free beg merci merci beg beg pleas babi beg merci merci ooh beg beg yeah emb,0.555,0.662,11.0,-4.952,0.0,0.0827,0.125,0.0,0.111,0.356,148.128,4.0,0,0.06,0.675,0.265,0.9926
Animals,Maroon 5,V,2014-09-02,231013,81,0,babi preyin tonight hunt eat aliv like anim anim like animalsm mayb think hide smell scent mile like anim anim like animalsm babi hey tryin hey like stop enemi hey get along insid yeah hey like drug killin hey cut entir hey get high insid yeah start run free hey find fish sea hey pretend meant hey stay away still hear makin sound hey takin rollin ground hey pretend hey oh see maroon liveget ticket low might also like babi preyin tonight hunt eat aliv like anim anim like animalsm mayb think hide smell scent mile like anim anim like animalsm babi hey run enough hey still head forev stuck hey want yeah hey love lie eat hey deni anim hey come aliv insid yeah start run free hey find fish sea hey pretend meant stay away still hear makin sound hey takin rollin ground hey pretend hey oh babi preyin tonight hunt eat aliv like anim anim like animalsm mayb think hide yeah smell scent mile like anim anim like animalsm babi hey tell lielilili denynynyni beast insidesisisid yeah yeah yeah girl lielilili girl lie denynynyni deni beast insidesisisid yeah yeah yeah yooh hey woahohoh hey woahohoh like anim anim hey like animalsm hey like anim anim hey yeah yeah like animalsm yeah oww babi preyin tonight hunt eat aliv like anim hey anim oh like animalsm oh mayb think hide smell scent mile mile like anim hey anim yeah like animalsm ooh babi tell lielilili denynynyni yeah beast insidesisisid yeah yeah yeah yeah yeah girl lielilili girl lie denynynyni deni beast insidesisisid yeah yeah yeah,0.279,0.742,4.0,-6.46,0.0,0.0898,0.000185,0.0,0.593,0.328,189.868,4.0,0,0.06,0.588,0.353,0.9981
Better,Khalid,Suncity,2018-10-19,229320,75,1,better noth babi noth feel better realli drunk never get fuck sober love see shine night like diamond love see shine night like diamond good side alright hold dark good side alright hold dark one got know hit bore one got know hit bore live street meet need hear noth feel better noth feel better noth feel better noth feel better oh got hide like admit noth feel better might also like say friend swear nobodi around say friend swear nobodi around keep hand around neck connect feel keep hand around neck connect feel got high night swear god felt feet lift ground got high night swear god felt feet lift ground ooh yeah back wall talk ear noth feel better noth feel better noth feel better noth feel better oh got hide like admit noth feel better left right left right take back bring side side like like ayi ooh left right left right take back bring side side like noth feel better noth feel better noth feel better noth feel better oh got hide like admit noth feel better better noth feel better thisemb,0.695,0.586,0.0,-10.315,0.0,0.0658,0.102,0.317,0.113,0.112,98.035,4.0,0,0.06,0.472,0.468,0.9987
1-800-273-8255,Logic,Everybody,2017-05-05,250173,75,1,low take time feel like mind feel like life mine relat woo low take time feel like mind feel like life mine want aliv want aliv want die today want die want aliv want aliv want die let tell shit talkin bout think know pray somebodi save one heroic life even matter know know know hurt deep show never place call never home nobodi callin phone mind say everi life preciou nobodi care mine low take time feel like mind feel like life mine relat woo low take time feel like mind feel like life mine might also like want aliv want aliv got die today got die want aliv want aliv got die let tell first breath head drown underwat light air chesttochest lover hold though road long see light darkest thing stare reflect final know know thank god know go know reason believ life day without littl night tryna would littl light hard hard got live right got everyth give right low take time feel like mind feel like life mine relat woo low take time feel like mind feel like life mine final want aliv final want aliv want die today want die final want aliv final want aliv want die want die pain hurt know lane travel feel alon move til leg give see tear melt snow want cri want cri anymor want feel aliv even want die anymor oh want want even want die anymor,0.62,0.574,5.0,-7.788,0.0,0.0479,0.569,0.0,0.19,0.357,100.023,4.0,0,0.241,0.476,0.283,-0.9246
Castle on the Hill,Ed Sheeran,÷ (Deluxe),2017-03-03,261153,79,0,six year old broke leg runnin brother friend tast sweet perfum mountain grass roll younger take back found heart broke made friend lost year seen roar field long know grown wait go home way drivin nineti countri lane singin tini dancer miss way make feel real watch sunset castl hill fifteen year old smoke handrol cigarett runnin law backfield gettin drunk friend first kiss friday night reckon right younger take back found weekend job got paid would buy cheap spirit drink straight friend thrown long oh grown wait go home see ed sheeran liveget ticket low might also like way drivin nineti countri lane singin tini dancer miss way make feel real watch sunset castl hill castl hill castl hill one friend left sell cloth one work coast one two kid live alon one brother overdos one alreadi second wife one bare gettin peopl rais wait go home way still rememb old countri lane know answer miss way make feel real watch sunset castl hill castl hill castl hillemb,0.461,0.834,2.0,-4.868,1.0,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4.0,0,0.086,0.753,0.161,0.9509
Ransom,Lil Tecca,We Love You Tecca,2019-08-30,131240,81,1,turn dancer yeah internet money bitch got black got white want hop outsid ghost hop phantom know bout blow dumb tri take flow take ass ransom know gone see blowin say want got two twin glock turn dancer see two twin opp leav banner got two thick thot want link gang yeah got red got blue want chanel balenciaga loui vuitton know got fendi prada hit milan need die rider need one start bottom could see way stunt want diamond want shit weigh ton opp tryna line hate place nigga know know place got lot shawti tryna pull place want last year get face inbox know want tast know want downfal lil nigga lace might also like got black got white want hop outsid ghost hop phantom know bout blow dumb tri take flow take ass ransom know gone see blowin say want got two twin glock turn dancer see two twin opp leav banner got two thick thot want link gang yeah got black got white want hop outsid ghost hop phantom know bout blow dumb tri take flow take ass ransom know gone see blowin say want got two twin glock turn dancer see two twin opp leav banner got two thick thot want link gang yeah,0.745,0.642,7.0,-6.257,0.0,0.287,0.0204,0.0,0.0658,0.226,179.974,4.0,0,0.169,0.699,0.133,-0.9753
